ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MINERVA Interferon 1 pathway	MINERVA Interferon 1 pathway	8/221	44/7341	4.13345690169372e-05	0.000926380635026651	0.000778062475612935	64135/9641/3665/10379/9636/4938/4939/4940	8
WP4880	Host-pathogen interaction of human corona viruses - Interferon induction	7/221	33/7341	4.46452374425841e-05	0.000944990859201364	0.000793693110090385	64135/9641/10379/4792/4938/4939/4940	7
WP4329	miRNAs involvement in the immune response in sepsis	9/221	60/7341	6.70539845218242e-05	0.00134460884751658	0.00112933026563072	3383/3552/3569/3665/3934/4791/4792/5971/7124	9
WP615	Senescence and Autophagy in Cancer	12/221	106/7341	7.44672551379904e-05	0.00138286032676127	0.00116145749229293	650/2919/9547/3552/3553/3569/3570/3624/3665/5327/5055/9966	12
WP2865	IL1 and megakaryocytes in obesity	6/221	25/7341	7.62206479317235e-05	0.00138286032676127	0.00116145749229293	1839/3383/3553/4318/6280/7097	6
WP2849	Hematopoietic Stem Cell Differentiation	9/221	63/7341	9.92627106526802e-05	0.00171904967084869	0.00144382124585717	1437/1440/79366/3552/3553/3569/3690/407006/6776	9
WP3851	TLR4 Signaling and Tolerance	6/221	28/7341	0.000150329208609898	0.00249023602088571	0.00209153681544206	9641/3569/11213/3665/4792/7124	6
WP2806	Human Complement System	11/221	99/7341	0.000176114324911476	0.00279581490796969	0.00234819099881969	715/716/718/629/3383/3384/3689/3690/5329/5627/7097	11
WP4478	LTF danger signal response pathway	5/221	19/7341	0.000194565130272216	0.00296517258534857	0.00249043366748437	3552/3553/3569/7097/7124	5
WP2036	TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway	7/221	42/7341	0.000223907772795937	0.00320642815704623	0.00269306301904145	330/3569/4318/4791/4792/5971/7124	7
WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	9/221	70/7341	0.000227227192231622	0.00320642815704623	0.00269306301904145	1594/10964/3569/9636/4791/4939/5971/7097/7124	9
WP558	Complement and Coagulation Cascades	8/221	58/7341	0.000311153347528562	0.00423390805029936	0.00355603825746928	715/716/718/629/5327/5329/5627/7056	8
WP1449	Regulation of toll-like receptor signaling pathway	13/221	143/7341	0.000352550757639558	0.00463178754002316	0.00389021525671236	942/9641/3553/3569/3656/11213/3665/1326/4791/4792/7097/7124/7128	13
WP4891	COVID-19 Adverse Outcome Pathway	4/221	14/7341	0.000630844993547669	0.0080117314180554	0.00672901326450847	1440/3553/3569/7124	4
WP4331	Neovascularisation processes	6/221	37/7341	0.000739812595955872	0.00898410217880114	0.00754570261736578	4318/4791/4855/5155/5971/7043	6
WP2431	Spinal Cord Injury	11/221	117/7341	0.000754570261736579	0.00898410217880114	0.00754570261736578	2919/2920/2043/3383/3552/3553/3569/4050/4318/5803/7124	11
MINERVA Coagulation pathway	MINERVA Coagulation pathway	7/221	53/7341	0.000966321015513072	0.0111566153609237	0.00937038560497525	718/629/3553/3569/5327/7056/7124	7
WP2877	Vitamin D Receptor Pathway	14/221	180/7341	0.00102031318798043	0.0114335095476631	0.00960294765158052	154/1031/200407/1594/50486/3294/3965/4600/639/6279/6280/1992/7056/7128	14
WP706	Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	13/221	161/7341	0.00109002744974836	0.0118657273815464	0.00996596525484214	3552/3553/3569/3570/4791/4824/5087/5452/10891/5567/7124/7166/7433	13
WP4462	Platelet-mediated interactions with vascular and circulating cells	4/221	17/7341	0.00139697691974653	0.0147846724006508	0.0124175726199692	3383/3553/7043/7097	4
WP4136	Fibrin Complement Receptor 3 Signaling Pathway	6/221	42/7341	0.00147284708234734	0.0151663442803875	0.0127381369284094	2921/3569/3656/3689/5327/7124	6
WP2203	Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway	6/221	46/7341	0.00237975134677268	0.0238601385031682	0.0200400113412436	3569/3575/4791/4792/5971/6776	6
WP3858	Toll-like Receptor Signaling related to MyD88	5/221	32/7341	0.0024498364994573	0.0239330181100828	0.0201012225596496	9641/3665/4791/5971/7097	5
WP2882	Nuclear Receptors Meta-Pathway	19/221	315/7341	0.00293065193968225	0.0275620169368245	0.0231492005768605	218/330/6364/1066/1839/3553/23764/4791/5155/5166/10891/6286/5055/11254/6530/7056/7124/7128/1831	19
WP2848	Differentiation Pathway	6/221	48/7341	0.00296599132391025	0.0275620169368245	0.0231492005768605	2246/3569/3570/3624/5155/7043	6
WP75	Toll-like Receptor Signaling Pathway	9/221	103/7341	0.00372355783434152	0.0330923460643797	0.0277940964320249	942/9641/3553/3569/3665/1326/4792/7097/7124	9
WP545	Complement Activation	4/221	22/7341	0.00381566740111766	0.0330923460643797	0.0277940964320249	715/716/718/629	4
WP2880	Glucocorticoid Receptor Pathway	7/221	67/7341	0.00382168825940343	0.0330923460643797	0.0277940964320249	330/6364/4791/6286/7056/7128/1831	7
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	6/221	51/7341	0.00403940209630352	0.0342002710820365	0.0287246371292695	602/8870/3575/9021/7124/10451	6
WP262	EBV LMP1 signaling	4/221	23/7341	0.00451153946757003	0.0373673160248735	0.0313846223830959	6364/4791/4792/7124	4
WP4655	Cytosolic DNA-sensing pathway	7/221	73/7341	0.00615315933599826	0.0498798661067093	0.041893850798286	9641/3553/90865/3569/3665/9636/4792	7
